5.000000000000000E+009	7.726644277572632E-001	4.558635871261103E-001	
5.001750000000000E+009	7.760564088821411E-001	4.510374822409813E-001	
5.003500000000000E+009	7.780741453170776E-001	4.457539929650342E-001	
5.005250000000000E+009	7.814753651618958E-001	4.415918750166735E-001	
5.007000000000000E+009	7.836856245994568E-001	4.355020683475671E-001	
5.008750000000000E+009	7.866802215576172E-001	4.301894855975507E-001	
5.010500000000000E+009	7.899389266967773E-001	4.257046066166124E-001	
5.012250000000000E+009	7.914090156555176E-001	4.199489433996866E-001	
5.014000000000000E+009	7.943190932273865E-001	4.146057765243553E-001	
5.015750000000000E+009	7.967679500579834E-001	4.086449115125482E-001	
5.017500000000000E+009	8.001663088798523E-001	4.035974940789674E-001	
5.019250000000000E+009	8.026350736618042E-001	3.978216165109167E-001	
5.021000000000000E+009	8.055802583694458E-001	3.929971564103775E-001	
5.022750000000000E+009	8.077177405357361E-001	3.868292814408654E-001	
5.024500000000000E+009	8.095220327377319E-001	3.810049127524072E-001	
5.026250000000000E+009	8.135731816291809E-001	3.761203805368208E-001	
5.028000000000000E+009	8.150430321693420E-001	3.695151360832353E-001	
5.029750000000000E+009	8.187325596809387E-001	3.646733371551252E-001	
5.031500000000000E+009	8.206745386123657E-001	3.592062367687106E-001	
5.033250000000000E+009	8.240468502044678E-001	3.536871428844757E-001	
5.035000000000000E+009	8.262700438499451E-001	3.486372352378074E-001	
5.036750000000000E+009	8.292185068130493E-001	3.424209863671102E-001	
5.038500000000000E+009	8.316221833229065E-001	3.383131780157047E-001	
5.040250000000000E+009	8.324437737464905E-001	3.311670533675522E-001	
5.042000000000000E+009	8.354794383049011E-001	3.262148692892498E-001	
5.043750000000000E+009	8.355563879013062E-001	3.212846319966232E-001	
5.045500000000000E+009	8.387710452079773E-001	3.154194289638649E-001	
5.047250000000000E+009	8.411663174629211E-001	3.100409099707710E-001	
5.049000000000000E+009	8.432803153991699E-001	3.042039000699155E-001	
5.050750000000000E+009	8.450825214385986E-001	2.988587065454393E-001	
5.052500000000000E+009	8.468579649925232E-001	2.931854181150188E-001	
5.054250000000000E+009	8.487024903297424E-001	2.876191366309788E-001	
5.056000000000000E+009	8.505562543869019E-001	2.804242995107459E-001	
5.057750000000000E+009	8.519596457481384E-001	2.753927089968476E-001	
5.059500000000000E+009	8.536661267280579E-001	2.690832091542648E-001	
5.061250000000000E+009	8.556596040725708E-001	2.626469780091843E-001	
5.063000000000000E+009	8.577499985694885E-001	2.581150754713810E-001	
5.064750000000000E+009	8.600215315818787E-001	2.517419154068754E-001	
5.066500000000000E+009	8.612334132194519E-001	2.465850724606941E-001	
5.068250000000000E+009	8.631515502929688E-001	2.393789625886015E-001	
5.070000000000000E+009	8.649047613143921E-001	2.327576134444303E-001	
5.071750000000000E+009	8.652803897857666E-001	2.272486190918064E-001	
5.073500000000000E+009	8.687121868133545E-001	2.200020861577956E-001	
5.075250000000000E+009	8.689748644828796E-001	2.162108611453050E-001	
5.077000000000000E+009	8.711426854133606E-001	2.105155334222050E-001	
5.078750000000000E+009	8.732900023460388E-001	2.036827591333740E-001	
5.080500000000000E+009	8.752004504203796E-001	1.975202713985568E-001	
5.082250000000000E+009	8.755372762680054E-001	1.932860968335519E-001	
5.084000000000000E+009	8.774187564849854E-001	1.873586527634988E-001	
5.085750000000000E+009	8.779685497283936E-001	1.815755697706546E-001	
5.087500000000000E+009	8.791408538818359E-001	1.750731126203857E-001	
5.089250000000000E+009	8.798336386680603E-001	1.688438988217164E-001	
5.091000000000000E+009	8.804727792739868E-001	1.627268137739277E-001	
5.092750000000000E+009	8.825327157974243E-001	1.570167764182461E-001	
5.094500000000000E+009	8.836193680763245E-001	1.517048963035188E-001	
5.096250000000000E+009	8.834312558174133E-001	1.453539554254476E-001	
5.098000000000000E+009	8.852009773254395E-001	1.388717622574804E-001	
5.099750000000000E+009	8.860892057418823E-001	1.325783890061362E-001	
5.101500000000000E+009	8.874844312667847E-001	1.270162217192634E-001	
5.103250000000000E+009	8.880224227905273E-001	1.205958616128908E-001	
5.105000000000000E+009	8.888845443725586E-001	1.137575753954153E-001	
5.106750000000000E+009	8.888862729072571E-001	1.075002711644308E-001	
5.108500000000000E+009	8.907687664031982E-001	1.008227103959016E-001	
5.110250000000000E+009	8.913577795028687E-001	9.490125839798085E-002	
5.112000000000000E+009	8.922779560089111E-001	8.756403652117462E-002	
5.113750000000000E+009	8.930981755256653E-001	8.397201765450860E-002	
5.115500000000000E+009	8.930611610412598E-001	7.772088566617136E-002	
5.117250000000000E+009	8.930929303169251E-001	7.135884711938015E-002	
5.119000000000000E+009	8.937026262283325E-001	6.541878201631614E-002	
5.120750000000000E+009	8.951666951179504E-001	5.927292074697813E-002	
5.122500000000000E+009	8.954558372497559E-001	5.342520771287219E-002	
5.124250000000000E+009	8.957288861274719E-001	4.672243938331609E-002	
5.126000000000000E+009	8.951580524444580E-001	4.196311453119511E-002	
5.127750000000000E+009	8.961884379386902E-001	3.571580091625082E-002	
5.129500000000000E+009	8.960874676704407E-001	2.904355737321809E-002	
5.131250000000000E+009	8.965546488761902E-001	2.383636133921113E-002	
5.133000000000000E+009	8.963875770568848E-001	1.752756636003746E-002	
5.134750000000000E+009	8.973861336708069E-001	1.206927270510276E-002	
5.136500000000000E+009	8.966301083564758E-001	5.344453923374718E-003	
5.138250000000000E+009	8.968831896781921E-001	-6.055032095265448E-004	
5.140000000000000E+009	8.967579603195190E-001	-6.647202873779703E-003	
5.141750000000000E+009	8.965525031089783E-001	-1.242551182865995E-002	
