5.000000000000000E+009	-1.738888919353485E-001	8.858776515493249E-001	
5.000734787317079E+009	-1.708493679761887E-001	8.860083925251624E-001	
5.001469682616637E+009	-1.688771694898605E-001	8.861564334137635E-001	
5.002204685914545E+009	-1.650396585464478E-001	8.852376139926089E-001	
5.002939797226673E+009	-1.622204780578613E-001	8.859267214300268E-001	
5.003675016568894E+009	-1.598693132400513E-001	8.852932929951124E-001	
5.004410343957086E+009	-1.579576283693314E-001	8.846704392990693E-001	
5.005145779407125E+009	-1.541865020990372E-001	8.852355777765312E-001	
5.005881322934892E+009	-1.513691097497940E-001	8.845385382112770E-001	
5.006616974556270E+009	-1.487158238887787E-001	8.849221447062157E-001	
5.007352734287144E+009	-1.457648724317551E-001	8.849503877555174E-001	
5.008088602143402E+009	-1.429339945316315E-001	8.853486597962383E-001	
5.008824578140934E+009	-1.396379768848419E-001	8.854302321806581E-001	
5.009560662295631E+009	-1.365672647953033E-001	8.861971770403591E-001	
5.010296854623389E+009	-1.337444782257080E-001	8.875031100864936E-001	
5.011033155140104E+009	-1.311663538217545E-001	8.872928647521110E-001	
5.011769563861675E+009	-1.283084303140640E-001	8.882393369397477E-001	
5.012506080804004E+009	-1.253215968608856E-001	8.885829799358130E-001	
5.013242705982994E+009	-1.221417859196663E-001	8.897125565430909E-001	
5.013979439414553E+009	-1.197625100612640E-001	8.904056422350233E-001	
5.014716281114587E+009	-1.168614476919174E-001	8.913624610939724E-001	
5.015453231099009E+009	-1.140854880213738E-001	8.920447308126018E-001	
5.016190289383731E+009	-1.116031035780907E-001	8.931547738727464E-001	
5.016927455984669E+009	-1.089147105813026E-001	8.935268224245826E-001	
5.017664730917741E+009	-1.071310937404633E-001	8.948411490561072E-001	
5.018402114198867E+009	-1.041735559701920E-001	8.955420855479388E-001	
5.019139605843969E+009	-1.022241264581680E-001	8.967564835883367E-001	
5.019877205868973E+009	-1.000000387430191E-001	8.971429085607204E-001	
5.020614914289805E+009	-9.728421270847321E-002	8.979741596395718E-001	
5.021352731122397E+009	-9.557076543569565E-002	8.989660417200129E-001	
5.022090656382677E+009	-9.371107071638107E-002	8.993856155830654E-001	
5.022828690086582E+009	-9.114054590463638E-002	9.009869141756965E-001	
5.023566832250049E+009	-8.957974612712860E-002	9.014335669354326E-001	
5.024305082889015E+009	-8.690360933542252E-002	9.022122958803019E-001	
5.025043442019423E+009	-8.610647916793823E-002	9.034278978469619E-001	
5.025781909657215E+009	-8.437459915876389E-002	9.041665088614810E-001	
5.026520485818338E+009	-8.092830330133438E-002	9.032737613909928E-001	
5.027259170518741E+009	-8.153771609067917E-002	9.042449831819563E-001	
5.027997963774373E+009	-7.916181534528732E-002	9.041014850754036E-001	
5.028736865601189E+009	-7.648204267024994E-002	9.035151009549481E-001	
5.029475876015142E+009	-7.314689457416534E-002	9.041766819391943E-001	
5.030214995032192E+009	-7.277782261371613E-002	9.038842374461891E-001	
5.030954222668298E+009	-7.125180214643478E-002	9.045925984432534E-001	
5.031693558939422E+009	-6.827261298894882E-002	9.044901129517641E-001	
5.032433003861528E+009	-6.754579395055771E-002	9.045225764090439E-001	
5.033172557450585E+009	-6.549107283353806E-002	9.032103958275387E-001	
5.033912219722562E+009	-6.319463998079300E-002	9.030004547228676E-001	
5.034651990693429E+009	-6.129429861903191E-002	9.021065576327958E-001	
5.035391870379162E+009	-6.054277718067169E-002	9.009910838001689E-001	
5.036131858795736E+009	-5.584732070565224E-002	9.015008263202435E-001	
5.036871955959131E+009	-5.423966050148010E-002	9.013031610464802E-001	
5.037612161885328E+009	-5.173448473215103E-002	9.007735083420563E-001	
5.038352476590311E+009	-4.890066385269165E-002	9.003665841101481E-001	
5.039092900090065E+009	-4.621165618300438E-002	8.992806362656161E-001	
5.039833432400578E+009	-4.358917847275734E-002	8.992991807808154E-001	
5.040574073537841E+009	-4.111775755882263E-002	8.991146532836413E-001	
5.041314823517847E+009	-3.856108710169792E-002	8.975325509483257E-001	
5.042055682356591E+009	-3.543652221560478E-002	8.973956581076602E-001	
5.042796650070071E+009	-3.390949219465256E-002	8.965555781370235E-001	
5.043537726674287E+009	-3.064332716166973E-002	8.964292252081049E-001	
5.044278912185240E+009	-2.756201662123203E-002	8.960061258609160E-001	
5.045020206618936E+009	-2.410644479095936E-002	8.962433551740959E-001	
5.045761609991381E+009	-2.135483734309673E-002	8.956603212774873E-001	
5.046503122318585E+009	-1.761433295905590E-002	8.962059622015702E-001	
5.047244743616560E+009	-1.534244976937771E-002	8.956347236306669E-001	
5.047986473901320E+009	-1.250227168202400E-002	8.960834318606181E-001	
5.048728313188881E+009	-9.125455282628536E-003	8.954184739353301E-001	
5.049470261495262E+009	-6.159099750220776E-003	8.959213351689427E-001	
5.050212318836484E+009	-3.197667654603720E-003	8.962217973764394E-001	
5.050954485228571E+009	-3.258604265283793E-004	8.960221436773856E-001	
5.051696760687548E+009	2.889827592298389E-003	8.965686367138843E-001	
5.052439145229444E+009	5.561626516282558E-003	8.970392314510427E-001	
5.053181638870288E+009	8.628940209746361E-003	8.968124919909947E-001	
5.053924241626115E+009	1.097274105995894E-002	8.977398990476091E-001	
5.054666953512960E+009	1.390504278242588E-002	8.980935178407923E-001	
5.055409774546859E+009	1.602806709706783E-002	8.987779936375814E-001	
5.056152704743853E+009	1.942486502230167E-002	8.990925805866905E-001	
5.056895744119984E+009	2.231585793197155E-002	8.994898569736364E-001	
5.057638892691297E+009	2.422982454299927E-002	9.003602755786238E-001	
5.058382150473839E+009	2.707010693848133E-002	9.006821543574968E-001	
