TE_{111}	4642591216.6865
TM_{010}	5739792892.3856
TM_{011}	5932442436.0456
TM_{012}	6476096485.1937
TM_{013}	7292673017.0157
TE_{211}	7441358928.6057
TE_{212}	7881609932.8045
TM_{014}	8302025981.633
TM_{110}	9145482895.4768
TE_{011}	9267605311.0269
TM_{015}	9442536348.1078
TE_{012}	9624679767.6347
TE_{311}	10137660535.4006
TM_{016}	10672237421.9277
TM_{017}	11963657973.7838
TM_{210}	12255233472.9315
TM_{211}	12346635099.7174
TM_{212}	12616867706.1352
TE_{121}	12811073375.7804
TM_{020}	13174077657.3674
TM_{021}	13259146764.8511
TM_{018}	13298829807.7837
TM_{022}	13511140786.788
TM_{019}	14665808467.9345
TE_{221}	16074691725.5311
TM_{120}	16744443631.1757
TE_{021}	16811455717.0739
TM_{121}	16811455717.0739
TE_{022}	17010908140.2398
TM_{220}	20088081819.2141
